date,total_dex_volume
2015-11-22,55.73
2015-11-23,37.63
2015-11-24,43.02
2015-11-25,190.0
2015-11-26,33.0
2015-11-27,0.27
2015-11-28,239.0
2015-11-29,44.23
2015-11-30,15.29
2015-12-01,1.11
2015-12-02,67.89
2015-12-03,38.75
2015-12-04,75.0
2015-12-05,8.84
2015-12-06,147.0
2015-12-07,52.78
2015-12-08,291.0
2015-12-09,95.61
2015-12-10,2.97
2015-12-11,9.47
2015-12-12,152.0
2015-12-13,1.57
2015-12-14,78.0
2015-12-15,57.0
2015-12-16,13.05
2015-12-17,36.0
2015-12-18,12.0
2015-12-19,10.57
2015-12-20,16.23
2015-12-21,98.86
2015-12-22,11.43
2015-12-23,78.45
2015-12-24,22.63
2015-12-25,74.08
2015-12-26,1.57
2015-12-27,58.4
2015-12-28,3.18
2015-12-29,18.34
2015-12-30,213.0
2015-12-31,0.01
2016-01-01,0.04
2016-01-02,12.55
2016-01-03,3.88
2016-01-04,37.25
2016-01-05,92.81
2016-01-06,125.0
2016-01-07,172.0
2016-01-08,30.99
2016-01-09,9.02
2016-01-10,10.0
2016-01-11,70.02
2016-01-12,487.0
2016-01-13,295.0
2016-01-14,226.0
2016-01-15,730.0
2016-01-16,102.0
2016-01-17,140.0
2016-01-18,170.0
2016-01-19,75.18
2016-01-20,88.28
2016-01-21,361.0
2016-01-22,52.64
2016-01-23,98.02
2016-01-24,143.0
2016-01-25,67.86
2016-01-26,48.08
2016-01-27,20.25
2016-01-28,77.19
2016-01-29,64.84
2016-01-30,3.7
2016-01-31,7.19
2016-02-01,148.0
2016-02-02,146.0
2016-02-03,11.16
2016-02-04,78.38
2016-02-05,167.0
2016-02-06,102.0
2016-02-07,331.0
2016-02-08,233.0
2016-02-09,221.0
2016-02-10,597.0
2016-02-11,178.0
2016-02-12,90.21
2016-02-13,597.0
2016-02-14,55.88
2016-02-15,93.05
2016-02-16,151.0
2016-02-17,130.0
2016-02-18,46.76
2016-02-19,718.0
2016-02-20,272.0
2016-02-21,71.85
2016-02-22,126.0
2016-02-23,198.0
2016-02-24,268.0
2016-02-25,251.0
2016-02-26,597.0
2016-02-27,49.71
2016-02-28,29.73
2016-02-29,71.92
2016-03-01,607.0
2016-03-02,369.0
2016-03-03,27.0
2016-03-04,76.64
2016-03-05,152.0
2016-03-06,44.64
2016-03-07,420.0
2016-03-08,1081.0
2016-03-09,372.0
2016-03-10,289.0
2016-03-11,167.0
2016-03-12,320.0
2016-03-13,266.0
2016-03-14,124.0
2016-03-15,62.66
2016-03-16,198.0
2016-03-17,135.0
2016-03-18,475.0
2016-03-19,1225.0
2016-03-20,3009.0
2016-03-21,2011.0
2016-03-22,1588.0
2016-03-23,1382.0
2016-03-24,496.0
2016-03-25,708.0
2016-03-26,9.48
2016-03-27,298.0
2016-03-28,702.0
2016-03-29,182.0
2016-03-30,0.13
2016-03-31,18.27
2016-04-01,401.0
2016-04-02,497.0
2016-04-03,343.0
2016-04-04,646.0
2016-04-05,483.0
2016-04-06,1015.0
2016-04-07,51.19
2016-04-08,55.95
2016-04-09,1473.0
2016-04-10,340.0
2016-04-11,150.0
2016-04-12,46.67
2016-04-13,344.0
2016-04-14,140.0
2016-04-15,373.0
2016-04-16,342.0
2016-04-17,74.81
2016-04-18,478.0
2016-04-19,668.43
2016-04-20,2148.0
2016-04-21,3215.0
2016-04-22,2186.0
2016-04-23,1286.34
2016-04-24,764.72
2016-04-25,26.85
2016-04-26,1271.0
2016-04-27,979.0
2016-04-28,995.0
2016-04-29,1763.29
2016-04-30,919.55
2016-05-01,2762.0
2016-05-02,2096.0
2016-05-03,2146.0
2016-05-04,1033.4
2016-05-05,960.0
