evaluation_scope,asset,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
all_assets,ALL,weak_label_3d,lf_vote_count,11487,140,0.01218769043266301,0.13020385948121052,0.7160312983922748,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.2,2297,0.033521985198084456,0.55,2.7504788855028295,77,140
by_asset,BNB,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.05008159560747285,0.7295855650188778,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.125,0.14285714285714285,14.651785714285715,2,14
by_asset,BNB,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.05008159560747285,0.7295855650188778,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.07317073170731707,0.42857142857142855,8.576655052264808,6,14
by_asset,BNB,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.05008159560747285,0.7295855650188778,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.042682926829268296,0.5,5.003048780487806,7,14
by_asset,BNB,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.05008159560747285,0.7295855650188778,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.024390243902439025,0.5714285714285714,2.8588850174216027,8,14
by_asset,BTC,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.09451592350646335,0.6522860700942893,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.25,0.11428571428571428,11.721428571428572,4,35
by_asset,BTC,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.09451592350646335,0.6522860700942893,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.13414634146341464,0.3142857142857143,6.289547038327527,11,35
by_asset,BTC,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.09451592350646335,0.6522860700942893,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.06707317073170732,0.3142857142857143,3.1447735191637634,11,35
by_asset,BTC,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.09451592350646335,0.6522860700942893,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.06707317073170732,0.6285714285714286,3.1447735191637634,22,35
by_asset,ETH,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.1331661785649345,0.6870485678704856,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.3125,0.14285714285714285,14.651785714285715,5,35
