date,asset,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,dex_volume_z_30d,chain_tvl_z_30d,claim_boundary
2022-05-10,BNB,99.52990336902585,0,0,,,,0.0646056379156867,0.0785640795158907,2.301379952304524,2.1511373818684474,-0.2453221315142469,0.0,2.7167419437225964,-3.155945310877226,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-24,SOL,99.52119787585967,0,0,,,,-0.0829647689014798,0.0782954625087355,2.274526010246671,2.1813855637189765,-0.5371221074683328,0.0,1.4888472646512727,-2.059955064291483,"Top alerts are review candidates, not confirmed fraud cases."
2025-04-09,SOL,99.51249238269348,0,0,,,,0.1207804051022094,0.0755407095203531,1.80907509013672,2.1912930956256225,-0.1721599211305526,0.0,1.8026424135223424,-2.191844754543378,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-10,BTC,99.50378688952729,1,1,E002,exchange_failure,high,0.1020374090112845,0.0869673284881673,1.5682129184445288,2.030424248529399,-0.1736584838508551,0.0,2.582073474604977,-3.2366537332263037,"Top alerts are review candidates, not confirmed fraud cases."
2021-02-20,BNB,99.4950813963611,0,0,,,,-0.2619920482462277,0.2507262414928752,1.7931810377164867,2.450081392146877,-0.2304828573059103,0.0,2.4301377928963457,2.0371619758391177,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-11,ETH,99.48637590319491,1,1,E001,stablecoin_depeg,high,-0.1230834696703473,0.05785675600113,2.511998326358075,3.85568099793222,-0.3355099744471389,0.0,3.274289373971136,,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-08,BTC,99.47767041002874,1,1,E002,exchange_failure,high,-0.1054286468114611,0.0457927200768418,2.7799196058271396,4.7320200023851715,-0.1288098328141871,0.0,3.146989869478346,1.1614428777954775,"Top alerts are review candidates, not confirmed fraud cases."
2025-02-25,USDT,99.46896491686255,0,0,,,,-0.0007625265781344,0.0006206082448515,1.5878077103051251,2.106938658019852,-0.0020608105533316,0.0010120272636413,1.1759642262234684,-1.821734172163987,"Top alerts are review candidates, not confirmed fraud cases."
2025-02-25,USDT,99.46025942369636,0,0,,,,-0.0007625265781344,0.0006206082448515,1.5878077103051251,2.106938658019852,-0.0020608105533316,0.0010120272636413,1.1759642262234684,-1.8217341721487876,"Top alerts are review candidates, not confirmed fraud cases."
2022-06-13,SOL,99.45155393053017,0,0,,,,-0.0866200527173992,0.0469919324821521,2.033786120301177,2.0187824316450276,-0.520629863659116,0.0,2.985161426687413,-2.81155060063464,"Top alerts are review candidates, not confirmed fraud cases."
2023-06-15,USDT,99.44284843736398,0,0,,,,-0.0006543028005815,0.0003507551180515,0.9107630258692444,4.843098100038836,-0.0013203522623342,0.0008170008659363,1.0246268057426002,-2.8221061656083464,"Top alerts are review candidates, not confirmed fraud cases."
2023-06-15,USDT,99.43414294419779,0,0,,,,-0.0006543028005815,0.0003507551180515,0.9107630258692444,4.843098100038836,-0.0013203522623342,0.0008170008659363,1.0246268057426002,-2.8221061655736817,"Top alerts are review candidates, not confirmed fraud cases."
2023-03-13,USDT,99.42543745103161,1,1,E003,stablecoin_depeg,high,-0.0032610071193272,0.0025649143146439,2.0108723682417726,1.5584183020795246,-0.0037907914667206,0.0038700103759765,2.3434089224043833,-0.23256069390713,"Top alerts are review candidates, not confirmed fraud cases."
2023-03-13,USDT,99.41673195786541,1,1,E003,stablecoin_depeg,high,-0.0032610071193272,0.0025649143146439,2.0108723682417726,1.5584183020795246,-0.0037907914667206,0.0038700103759765,2.3434089224043833,-0.2325606939046424,"Top alerts are review candidates, not confirmed fraud cases."
