check_family,score_family,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
main_weak_label,ablation,weak_label_3d,score_context_only_lfs,11487,140,0.01218769043266301,0.07142318082257695,0.6648900275717935,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.04960835509138381,0.40714285714285714,4.070365535248041,57,140
main_weak_label,ablation,weak_label_3d,score_context_only_lfs,11487,140,0.01218769043266301,0.07142318082257695,0.6648900275717935,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.027427078798432737,0.45,2.250391815411406,63,140
main_weak_label,ablation,weak_label_3d,score_drop_anomaly_lf,11487,140,0.01218769043266301,0.123776995130292,0.7118908081431214,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.25217391304347825,0.20714285714285716,20.69086956521739,29,140
main_weak_label,ablation,weak_label_3d,score_drop_anomaly_lf,11487,140,0.01218769043266301,0.123776995130292,0.7118908081431214,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.09407665505226481,0.38571428571428573,7.718989547038328,54,140
main_weak_label,ablation,weak_label_3d,score_drop_anomaly_lf,11487,140,0.01218769043266301,0.123776995130292,0.7118908081431214,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.057441253263707574,0.4714285714285714,4.713054830287207,66,140
main_weak_label,ablation,weak_label_3d,score_drop_anomaly_lf,11487,140,0.01218769043266301,0.123776995130292,0.7118908081431214,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.03134523291249456,0.5142857142857142,2.5718763604701786,72,140
main_weak_label,ablation,weak_label_3d,score_drop_defi_context_lf,11487,140,0.01218769043266301,0.11655753440855053,0.7142602198189579,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.25217391304347825,0.20714285714285716,20.69086956521739,29,140
main_weak_label,ablation,weak_label_3d,score_drop_defi_context_lf,11487,140,0.01218769043266301,0.11655753440855053,0.7142602198189579,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.10452961672473868,0.42857142857142855,8.576655052264808,60,140
main_weak_label,ablation,weak_label_3d,score_drop_defi_context_lf,11487,140,0.01218769043266301,0.11655753440855053,0.7142602198189579,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.05918189730200174,0.4857142857142857,4.855874673629243,68,140
main_weak_label,ablation,weak_label_3d,score_drop_defi_context_lf,11487,140,0.01218769043266301,0.11655753440855053,0.7142602198189579,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.030474531998258596,0.5,2.500435350457118,70,140
