date,asset,anomaly_ensemble_score,isolation_forest_score,lof_score,robust_z_score,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,claim_boundary
2023-04-19,ETH,0.9975624619134674,0.9859841560024375,0.9408897014015845,0.9829372333942717,97.29259162531557,0,0,,,,-0.0832633016202137,0.0443301258463572,1.614656520172561,3.000646068739695,-0.0866046743127,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2022-11-08,SOL,0.9975624619134674,0.9981718464351006,0.979890310786106,0.9987812309567337,99.77365717767913,1,1,E002,exchange_failure,high,-0.2034138166526937,0.1085488431847031,3.334917829728622,4.567169321921082,-0.3430589927872434,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2022-05-11,USDT,0.9972577696526508,0.9998476538695917,0.9960390006093846,0.9803473491773309,99.98258901366762,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,0.0014698980181551,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2023-06-05,BNB,0.9972577696526508,0.9963436928702011,0.9811090798293723,1.0,99.69530773918342,1,1,E004,regulatory_action,medium,-0.0972081277089254,0.0360849470093029,3.1436924270723225,4.950980856212945,-0.1390555494773427,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-05-23,BNB,0.9972577696526508,0.9823278488726387,0.9963436928702011,0.9987812309567337,97.44929050230697,0,0,,,,-0.130180605384643,0.1691296933275818,0.5639250687909338,1.6826756277252666,-0.6108452371403114,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-03-19,USDC,0.9969530773918343,0.9914686166971359,0.9957343083485679,0.9786715417428398,80.9175589797162,0,0,,,,0.001441508805634,0.0010794808146043,-0.9635729215612708,2.1094699931412553,0.0,0.002437949180603,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2022-05-12,USDT,0.9969530773918343,0.9992382693479586,0.9975624619134674,0.9571907373552712,99.90423957517194,1,1,E001,stablecoin_depeg,high,0.0017426792257216,0.0017164457608397,2.050687145807687,5.251685977167206,-0.0027340781033746,0.00239098072052,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2021-06-27,BTC,0.9969530773918343,0.9774527726995734,0.9981718464351006,0.9707495429616088,59.48463480456168,0,0,,,,0.0737472744793095,0.071883179999775,-0.6097582847623706,-0.2016444038590879,-0.1424686086288628,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2024-08-05,SOL,0.9969530773918343,0.9939061547836685,0.9865935405240707,0.9957343083485679,99.31226603987116,0,0,,,,-0.0611626798393851,0.0262551983339988,3.6121834126775703,4.152716345531793,-0.2975982557618438,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2023-03-11,ETH,0.9969530773918343,0.967702620353443,0.9847653869591713,0.9530773918342474,92.678680247236,1,1,E003,stablecoin_depeg,high,0.0367230502651745,0.0300608721287289,2.1818910137898686,0.1108041973890932,-0.129242779504191,0.0,"Anomaly top alerts are review candidates, not confirmed fraud cases."
2022-05-12,USDT,0.9966483851310177,0.9992382693479586,0.9972577696526508,0.9571907373552712,99.89553408200574,1,1,E001,stablecoin_depeg,high,0.0017426792257216,0.0017164457608397,2.050687145807687,5.251685977167206,-0.0027340781033746,0.00239098072052,"Anomaly top alerts are review candidates, not confirmed fraud cases."
